"GR113-003","GR113-005","GR113-006","GR113-010","GR113-015","GR113-016","GR113-018","GR113-020","GR113-021","GR113-022","GR113-023","GR113-024","GR113-025","GR113-026","GR113-027","GR113-028","GR113-029","GR113-030","GR113-031","GR113-032","GR113-033","GR113-034","GR113-035","GR113-036","GR113-038","GR113-039","GR113-040","GR113-041","GR113-042","GR113-043","GR113-044","GR113-045","GR113-046","GR113-048","GR113-049","GR113-050","GR113-051","GR113-052","GR113-055","GR113-056","GR113-057","GR113-059","GR113-060","GR113-062","GR113-063","GR113-065","GR113-066","GR113-067","GR113-068","GR113-069","GR113-070","GR113-071","GR113-073","GR113-074","GR113-075","GR113-077","GR113-078","GR113-083","GR113-084","GR113-085","GR113-086","GR113-087","GR113-088","GR113-089","GR113-090","GR113-091","GR113-092","GR113-094","GR113-095","GR113-096","GR113-100","GR113-102","GR113-103","GR113-106","GR113-107","GR113-108","GR113-109","GR113-110","GR113-111","GR113-114","GR113-115","GR113-116","GR113-118","GR113-119","GR113-120","GR113-121","GR113-122","GR113-123","GR113-125","GR113-126","GR113-128","GR113-129","GR113-130","GR113-132","GR113-133","GR113-135","Other","Combine-GR113-097"
811,41,14,3480,547,518,574,795,1220,934,4377,2142,3414,327,12131,631,3341,321,895,1235,2423,1116,1372,1373,92,1631,1922,1079,8,5795,1285,469,6522,436,13,47,2410,9479,328,3541,494,9334,325,4997,15536,121,82,6698,11517,2755,11671,471,778,827,338,640,4428,53,597,330,12654,46,1700,3277,283,29,167,1775,1546,306,4052,54,42,2,102,956,853,2634,26570,3152,72,117,2757,39,299,207,4713,1476,1917,1895,1136,389,46,34,484,209,48,72
849,30,15,3257,538,500,550,889,1312,982,4284,2258,3544,351,12403,671,3566,312,886,1155,2593,1144,1326,1390,76,1614,1896,1018,8,5911,1304,430,6626,509,13,35,2236,9274,298,3627,482,9087,351,5103,15062,109,77,6399,11315,2683,11637,475,801,841,359,178,3875,42,550,298,11919,60,1594,3232,272,29,178,1790,1506,355,4009,73,51,2,100,1001,797,2631,25885,3481,94,145,2842,39,368,176,4675,1405,1928,1925,1191,458,45,19,494,229,53,73
713,26,12,2993,489,496,488,824,1231,913,4267,2131,3376,277,11959,660,3360,350,849,1102,2394,1091,1325,1359,78,1596,1837,963,8,5637,1243,436,6051,467,9,43,2261,8687,276,3327,453,8625,318,4868,14262,119,67,6056,10839,2498,10980,395,706,781,368,43,3348,29,518,267,10889,59,1454,3058,239,40,168,1714,1516,309,3863,66,56,4,101,979,813,2545,24418,3542,106,167,2677,36,547,141,4587,1486,1868,1858,1283,374,54,21,493,268,44,64
729,38,13,3222,505,508,486,890,1288,925,4425,2330,3566,320,12209,678,3466,332,934,1255,2527,1070,1411,1364,80,1748,1902,1011,11,6050,1358,408,6221,490,19,42,2364,9038,292,3443,427,8564,313,5204,14438,126,84,6105,10713,2654,11036,482,716,777,422,18,3394,38,489,253,10901,58,1486,3051,254,27,150,1861,1533,321,3770,57,49,1,104,985,835,2726,25266,3582,113,210,2843,43,656,162,5033,1603,2052,1981,1342,462,46,23,508,264,37,75
633,31,15,3134,499,518,565,849,1325,980,4617,2321,3627,304,12425,701,3530,380,952,1203,2637,1139,1351,1449,77,1713,1922,1034,6,6051,1337,420,6282,496,17,32,2406,8991,252,3419,469,8693,331,5032,14465,120,79,6149,10692,2719,11290,464,778,808,407,16,3282,28,524,258,10654,57,1497,2907,241,40,166,1718,1519,310,3870,67,40,1,105,982,827,2811,25297,3600,86,180,2824,43,506,152,4902,1534,2037,2005,1339,465,52,29,453,251,41,59
663,32,5,3138,460,458,550,815,1296,898,4365,2099,3539,294,12062,680,3498,332,832,1205,2419,1139,1359,1362,80,1660,1868,1054,9,5823,1268,434,6175,537,16,35,2400,9077,274,3318,440,8405,346,4880,13946,130,59,5917,10543,2538,11057,441,798,732,376,24,3283,35,548,238,10286,51,1446,2936,245,30,155,1770,1466,310,3664,63,52,3,115,934,767,2674,25367,3612,105,154,2926,41,311,148,4766,1432,1901,1819,1259,416,35,27,413,259,29,59
736,30,8,3287,528,491,580,863,1344,990,4489,2279,3688,314,12620,680,3468,357,901,1196,2538,1136,1498,1452,91,1736,2009,1019,11,6136,1310,468,6669,552,21,46,2618,9875,281,3589,512,9177,329,5158,15451,129,75,6480,11233,2767,11766,443,851,852,395,42,3580,40,567,282,11120,64,1607,3277,255,30,174,1877,1574,318,4129,70,78,1,104,953,855,2967,26979,3834,93,134,2956,40,204,208,5028,1554,1971,1867,1290,388,54,29,415,260,46,83
724,24,11,3310,506,475,572,825,1261,957,4355,2120,3602,319,12172,666,3466,374,915,1155,2508,1159,1317,1378,82,1686,1955,1074,4,5935,1283,414,6715,535,20,53,2514,9988,287,3695,491,9349,325,5092,15176,122,76,6466,11527,2776,12163,464,800,805,402,57,3683,34,552,295,11398,63,1562,3227,292,41,168,1823,1512,323,4059,62,51,0,96,913,855,2957,27122,3535,85,104,2964,50,181,224,5071,1450,1770,1688,1283,437,43,26,390,319,34,69
857,50,18,3714,585,510,670,836,1324,907,4615,2358,3653,340,12861,683,3575,338,934,1203,2642,1202,1504,1481,95,1707,1981,1092,7,6090,1326,471,7446,584,24,64,2916,11277,323,4102,597,10390,354,5711,16914,122,83,7302,12674,3189,13320,504,892,848,451,260,4721,53,655,330,13138,68,1843,3620,299,39,194,1949,1632,350,4381,70,51,5,98,911,845,3465,30052,3330,71,126,3060,49,156,400,5519,1652,1800,1597,1214,395,42,24,450,432,54,91
904,27,11,4089,540,520,791,861,1307,961,4677,2267,3697,317,12937,722,3702,370,925,1277,2713,1227,1445,1431,98,1844,2114,1110,5,6113,1351,502,7907,614,23,73,3097,12018,276,4485,623,10491,427,5913,18249,130,90,7823,13143,3400,13595,548,911,842,431,1239,5686,67,714,347,15446,78,2098,4083,294,34,185,1947,1813,332,4724,60,59,2,93,902,913,2769,31895,3034,82,129,3179,49,178,306,5859,1704,1900,1809,1310,416,53,30,492,384,80,94
785,26,16,3511,490,452,717,806,1215,877,4107,2089,3392,291,11385,643,3329,277,841,1088,2431,1039,1272,1308,86,1533,1774,1038,10,5700,1306,466,7013,601,29,61,2660,10309,278,4015,566,9302,337,5305,15993,121,101,6971,11955,3014,11975,519,773,791,384,1597,5060,57,707,295,13875,63,1820,3581,289,41,189,1687,1552,276,4241,65,63,1,92,832,758,2595,27904,2748,65,105,2853,32,171,267,5247,1506,1762,1619,1052,376,51,29,411,365,71,76
833,32,26,3796,533,504,734,865,1227,943,4473,2294,3698,311,12633,657,3605,370,965,1166,2491,1154,1397,1452,86,1710,1955,1124,7,6202,1359,471,7588,626,24,67,2795,11179,327,4235,575,10020,402,5687,17140,146,94,7266,12584,3109,12969,556,938,897,417,1361,5129,65,706,345,14716,65,1871,3885,319,38,201,1848,1708,330,4543,75,51,4,89,924,889,2859,30146,3164,64,120,3154,44,206,321,5658,1661,1971,1899,1043,424,49,40,475,411,62,85
782,20,11,3484,472,467,622,834,1239,913,4435,2180,3626,275,11944,641,3463,344,877,1143,2542,1156,1351,1384,76,1697,1885,1078,8,5965,1275,441,6701,593,25,52,2567,9932,275,3786,584,9019,384,5128,15420,137,75,6746,11527,2872,12047,492,779,824,365,584,4215,33,616,295,12972,60,1705,3680,251,25,175,1774,1576,309,4206,63,47,0,93,1007,836,2633,27296,3238,76,144,2959,37,274,218,5400,1493,2078,1894,1132,398,45,29,523,350,56,75
744,33,12,3242,476,456,563,821,1317,966,4450,2282,3640,316,12208,648,3526,372,885,1197,2433,1147,1415,1352,90,1705,1913,1050,6,6075,1319,438,6713,592,21,55,2439,9498,298,3747,600,9068,356,5124,15382,122,77,6569,11581,2901,11978,439,801,835,421,142,3735,38,578,286,12508,56,1581,3344,269,31,171,1804,1589,317,4171,68,51,1,93,958,811,2566,26647,3416,89,180,2930,29,358,171,5492,1472,2153,2104,1275,413,56,30,499,363,47,64
609,34,12,3060,468,470,544,804,1322,881,4219,2145,3507,309,11894,670,3493,339,963,1171,2392,1132,1312,1309,92,1640,1897,1026,7,5912,1267,388,6349,595,18,59,2413,8943,288,3705,563,8491,333,4906,14492,111,59,6238,10931,2659,11126,420,779,727,354,47,3435,27,583,262,11289,64,1542,3146,236,36,166,1772,1561,260,3712,63,34,2,97,990,821,2559,25387,3492,109,160,2873,48,564,133,5359,1529,1976,2105,1230,440,46,29,448,356,29,65
731,24,13,3014,428,459,554,841,1278,928,4494,2313,3842,303,12199,650,3543,347,921,1278,2562,1156,1369,1394,68,1685,1954,1092,8,6214,1329,422,6472,600,16,37,2422,9027,266,3802,571,8516,347,5127,14351,114,56,6241,10826,2655,11362,404,676,779,348,28,3335,28,484,270,10753,56,1519,3136,228,24,194,1798,1575,335,3667,49,44,1,100,905,757,2496,25772,3730,102,232,2848,40,662,199,5453,1597,2083,2096,1314,489,61,18,474,381,40,68
644,36,9,3071,453,490,585,830,1267,975,4700,2375,3703,338,12139,664,3498,369,995,1128,2538,1156,1422,1451,83,1657,1910,1043,8,6102,1325,415,6390,642,24,31,2477,9298,257,3610,576,8646,356,4813,14483,138,88,6077,10850,2667,11687,403,781,788,363,19,3170,26,466,247,10521,43,1502,3166,289,41,182,1895,1541,321,3800,71,54,1,112,965,816,2551,26113,3409,110,159,2997,47,464,149,5327,1580,2071,2204,1242,409,52,21,443,365,28,74
659,36,13,3173,410,447,568,818,1276,911,4243,2226,3652,286,11778,698,3595,353,891,1162,2604,1198,1336,1426,87,1690,1930,984,11,5832,1266,445,6558,612,16,37,2473,9363,249,3681,580,8481,349,4862,14442,139,66,6068,10825,2740,11426,437,780,783,401,46,3267,34,478,255,10546,38,1533,3167,267,36,166,1812,1533,323,3843,78,52,0,114,930,813,2734,26064,3572,128,146,2988,36,295,148,5343,1513,1983,2041,1143,452,48,25,424,352,45,79
656,27,10,3275,445,500,672,889,1273,928,4557,2308,3787,325,12397,708,3581,338,907,1224,2605,1217,1517,1453,89,1718,1988,1092,5,6226,1312,450,6829,662,24,36,2748,10080,272,3893,632,8906,386,5115,15084,115,75,6520,11497,2934,12177,411,898,858,391,73,3541,28,559,290,11218,54,1531,3311,279,31,149,1948,1683,311,3990,73,47,0,106,944,791,2817,27543,3629,83,125,3107,35,222,241,5060,1510,2072,2000,1308,417,60,32,421,349,52,63
673,24,19,3348,424,430,616,859,1283,913,4509,2269,3617,302,11976,640,3473,353,877,1122,2472,1135,1398,1382,83,1771,1974,1042,15,5991,1298,435,7061,681,17,49,2799,10006,259,3902,653,8937,348,5272,15465,115,74,6484,11506,2947,12301,438,873,773,427,179,3726,39,548,327,11257,54,1631,3378,310,36,198,1894,1614,315,4183,51,53,1,100,856,829,2854,28194,3408,92,99,3086,48,164,274,5106,1496,1886,1838,1251,396,52,30,428,375,45,80
786,30,14,3859,472,503,702,898,1317,962,4583,2358,3851,335,12442,715,3702,376,947,1237,2705,1243,1423,1462,71,1810,2065,1130,10,6359,1417,509,7983,774,17,58,3073,11751,275,4662,736,10469,422,6018,17350,131,89,7477,13273,3418,13740,480,939,862,433,1200,4858,60,646,345,13949,50,1775,3816,313,32,182,2067,1752,364,4629,91,64,6,100,895,868,3317,31550,3391,75,119,3364,41,151,385,5491,1711,1919,1710,1242,338,43,25,423,408,68,101
898,35,24,4502,504,582,1001,886,1389,947,4818,2331,3779,342,12779,684,3787,366,885,1139,2872,1252,1457,1465,89,1832,2032,1221,8,6516,1416,474,8674,831,33,69,3548,13410,382,5124,831,11282,465,6579,19357,150,94,8276,14484,3769,14653,583,957,926,488,5145,7019,86,829,396,16960,68,2192,4603,329,30,204,2095,1853,353,5245,84,54,5,84,934,917,3138,35313,3010,73,108,3569,47,177,506,5366,1892,2169,1797,1267,407,51,37,452,396,106,101
729,42,18,3660,427,455,876,773,1234,833,4074,2148,3302,285,11135,634,3329,319,826,1087,2455,1139,1305,1344,75,1639,1842,1030,9,5630,1251,439,7028,735,21,65,2789,10623,280,4224,641,9122,384,5330,15738,144,70,6913,11827,3062,12176,496,820,834,442,3307,5247,58,673,278,13570,63,1747,3879,279,21,167,1761,1577,309,4323,64,41,1,84,836,812,2560,28548,2734,58,91,3050,35,162,270,4839,1447,1836,1760,1028,348,42,23,454,355,78,75
788,38,17,3673,394,446,797,841,1271,909,4495,2384,3738,308,12051,711,3651,365,993,1134,2631,1207,1445,1437,103,1747,2010,1054,6,6198,1314,488,7415,774,32,55,2894,10815,320,4606,764,9693,388,5650,16904,154,82,7345,12395,3201,12927,443,917,823,435,1409,4724,43,706,314,13932,67,1760,3990,331,31,206,1942,1706,278,4449,75,50,2,90,948,864,2665,30062,3015,86,115,3192,32,212,319,5376,1579,2092,1919,1057,392,61,29,493,371,60,85
687,20,16,3278,419,451,626,796,1285,929,4309,2263,3681,284,11810,679,3454,341,869,1147,2558,1098,1326,1377,77,1620,1940,1005,9,5929,1331,446,7032,752,18,59,2700,9902,321,4078,703,9080,343,5235,15512,152,77,7083,11651,2885,12312,438,816,849,380,608,4025,48,640,315,12854,55,1629,3688,272,27,163,1798,1682,321,4144,85,58,1,73,860,844,2552,28182,2979,67,148,3006,36,247,251,5124,1417,2023,1897,1134,438,51,30,454,377,48,75
673,28,14,3092,418,450,566,851,1268,941,4299,2305,3723,334,11832,712,3537,350,903,1192,2606,1210,1321,1434,102,1611,1907,1075,10,6059,1274,405,6805,706,20,45,2646,9333,307,4104,691,8745,349,5324,15135,134,87,6992,11430,2874,11812,361,787,852,368,153,3435,29,656,282,12251,44,1504,3606,316,35,194,1846,1605,293,4007,64,40,2,68,902,781,2508,26965,3443,100,151,2976,43,390,171,5308,1443,2123,2067,1156,403,51,37,438,364,39,74
609,24,11,2933,387,443,574,849,1233,914,4279,2279,3639,299,11518,647,3500,349,911,1090,2511,1137,1368,1367,97,1554,1891,1050,7,5855,1196,404,6481,751,29,41,2475,8906,260,4158,683,8247,323,5086,14222,130,89,6541,10717,2732,11445,343,739,804,352,21,3231,29,597,224,11356,60,1416,3327,241,38,184,1877,1512,337,3847,61,44,1,63,855,742,2521,25746,3514,99,170,2987,37,543,158,5280,1412,2015,2363,1229,445,56,34,487,371,37,57
610,21,10,3178,354,459,605,866,1322,920,4457,2265,3792,312,11757,726,3552,329,977,1159,2656,1216,1364,1384,95,1621,1930,992,7,6171,1264,420,6612,761,18,43,2654,9082,278,4100,690,8254,363,5481,14823,114,74,6424,10795,2708,11656,411,713,793,373,21,3132,25,555,252,10888,57,1431,3438,234,32,209,2006,1580,312,3865,61,44,5,91,933,802,2626,26576,3552,118,154,3012,32,667,208,5430,1640,2138,2218,1291,464,52,30,460,334,43,82
569,19,17,3134,381,398,631,914,1283,943,4462,2397,3778,317,11793,735,3632,372,988,1150,2653,1186,1368,1490,74,1736,1978,1018,15,6300,1297,405,6598,762,14,54,2628,9277,282,4072,684,8382,325,4973,14480,119,86,6548,10701,2731,11640,347,755,785,423,18,2993,39,551,229,10520,51,1516,3210,255,43,170,1979,1608,327,3994,76,40,4,93,983,748,2668,26993,3490,124,158,2917,33,463,146,5344,1441,2147,2153,1162,445,62,33,445,360,35,89
592,22,18,3092,368,408,654,798,1289,914,4378,2265,3827,276,11559,648,3432,312,920,1075,2543,1171,1375,1413,82,1726,1927,1098,10,5980,1283,440,6458,723,21,52,2621,9250,274,3917,655,8035,327,4872,14084,137,79,6270,10462,2763,11296,345,772,737,382,30,3052,34,568,248,10211,50,1386,3238,245,28,200,1844,1593,274,3819,66,51,1,80,926,770,2535,26420,3579,102,130,3072,36,305,156,5090,1430,2052,2084,1215,398,47,30,398,363,47,66
569,34,15,3359,386,439,679,872,1314,947,4560,2388,4018,328,12127,698,3676,368,976,1213,2717,1161,1449,1496,84,1681,2017,1094,6,6441,1342,426,7028,803,21,37,2869,10080,287,4156,643,8834,349,5174,15363,138,85,6831,11372,2979,12355,375,868,871,398,48,3399,36,546,281,11210,55,1511,3510,260,29,203,2016,1613,326,3958,71,59,3,67,923,797,2775,28605,3657,90,114,3195,39,241,179,5126,1473,2074,2053,1141,371,42,22,416,428,56,89
551,32,14,3197,395,438,667,857,1269,916,4411,2328,3762,368,11636,650,3531,309,966,1166,2670,1166,1350,1486,81,1701,1890,1037,12,6265,1311,447,7152,818,19,56,2859,10391,301,4388,719,9231,353,5394,15564,134,78,6776,11451,2921,12427,404,881,815,392,92,3522,30,580,312,11336,38,1512,3426,288,20,181,1972,1584,326,4195,82,46,2,74,809,813,2885,29234,3250,74,128,3202,47,154,318,4884,1416,1865,1786,1093,390,52,26,383,403,42,100
629,36,17,3620,409,456,714,855,1262,930,4552,2333,3876,324,12164,675,3869,358,1024,1196,2617,1191,1513,1434,79,1819,1995,1135,17,6404,1361,468,7663,919,38,56,3146,10950,268,4597,813,9705,381,5828,16676,151,87,7617,12490,3210,13111,385,898,865,395,312,4177,35,659,310,12905,53,1635,3899,322,34,184,2036,1753,322,4558,75,51,2,77,809,839,3104,31310,3181,73,97,3277,41,149,290,5232,1511,1898,1815,1185,371,51,22,420,482,54,89
706,20,10,3580,397,474,926,882,1369,939,4572,2403,3930,310,12425,676,3795,369,942,1163,2733,1220,1402,1497,79,1781,2046,1158,11,6385,1406,480,8218,979,26,63,3243,10961,341,5034,834,9821,409,5820,17393,143,94,7766,13020,3404,13447,434,911,894,431,934,4786,58,712,366,14194,66,1807,4116,297,30,209,2107,1754,328,4653,96,49,1,105,827,856,2738,32193,2948,64,116,3396,38,178,331,5155,1762,1957,1876,1155,419,66,33,457,478,79,87
633,22,24,3257,349,443,814,813,1242,893,4139,2124,3539,277,10853,640,3342,318,884,1050,2550,1101,1264,1303,72,1550,1780,1071,13,5921,1218,434,7485,847,17,60,2868,10098,303,4590,804,8786,396,5298,15746,144,91,7064,11613,3025,12125,385,805,802,414,1446,4105,48,609,292,12941,50,1726,3641,315,28,187,1820,1554,296,4164,65,42,1,82,821,785,2451,28748,2535,79,119,3201,34,147,277,4869,1631,1817,1744,1002,354,45,25,429,438,53,106
643,30,15,3559,416,462,835,890,1332,876,4655,2358,3938,326,11904,705,3710,326,1000,1159,2670,1186,1431,1554,95,1754,1936,1184,10,6451,1287,479,7886,952,26,53,3076,10809,340,5059,888,9251,395,5751,16931,153,97,8050,12813,3345,13433,398,886,853,390,1698,4594,54,715,320,14060,67,1813,4126,317,28,193,1979,1754,345,4548,90,50,2,86,912,867,2718,31563,2956,73,136,3360,31,208,286,5502,1668,2152,2009,1064,403,55,30,475,447,63,101
625,33,15,3254,364,422,747,824,1313,858,4102,2289,3737,302,11468,688,3412,360,959,1124,2524,1115,1364,1353,93,1703,1824,1021,9,6051,1229,467,7360,916,22,48,2868,9824,295,4606,789,8647,381,5228,15737,138,77,7290,11732,2963,12443,371,796,777,357,743,3860,40,622,295,12828,37,1562,3698,312,25,165,1913,1725,325,4207,61,54,1,87,907,813,2557,29061,3079,85,131,3082,37,259,222,5086,1500,2068,1961,1077,367,45,30,445,442,47,79
607,36,18,3089,351,411,711,869,1320,958,4559,2478,3753,344,11905,674,3504,318,947,1064,2715,1227,1421,1463,74,1695,2041,1064,16,6218,1279,455,7202,912,22,50,2754,9722,308,4518,871,8691,343,5368,15823,140,91,7240,11592,3115,12232,366,772,873,388,148,3594,32,601,311,12484,68,1629,3629,295,36,168,2058,1712,354,4169,94,46,0,107,931,819,2575,28769,3417,90,175,3213,41,397,184,5376,1582,1953,2099,1224,438,54,39,430,455,52,68
595,27,14,2886,359,389,671,902,1282,905,4347,2206,3708,307,11406,680,3445,312,964,1076,2571,1173,1332,1419,76,1589,1791,993,8,6129,1201,403,6867,799,29,39,2679,9351,292,4285,856,8181,366,5170,14509,108,80,6822,11011,2831,11556,325,749,843,397,43,3257,34,569,270,11462,54,1512,3427,283,32,169,1956,1602,331,3967,77,49,4,86,874,765,2513,27435,3449,91,198,3161,35,496,150,5399,1539,2057,1993,1270,403,48,28,441,445,50,87
594,34,17,3015,345,440,654,884,1369,932,4466,2292,3956,340,11654,693,3457,344,907,1135,2607,1135,1435,1384,72,1746,1925,1026,4,6292,1287,408,6880,881,32,51,2749,9418,291,4447,833,8201,319,5450,14737,126,84,6780,11067,2875,11870,310,765,841,410,23,3045,29,531,269,11112,64,1450,3369,285,35,196,2036,1631,298,4017,59,46,6,83,900,743,2622,27829,3527,99,180,3263,33,669,180,5731,1610,2119,2074,1342,387,51,26,434,421,41,80
537,23,15,2893,356,416,635,883,1333,962,4410,2350,3838,304,11800,645,3668,353,1006,1210,2620,1170,1469,1448,68,1731,1964,1103,9,6164,1287,396,6658,934,28,41,2742,9420,293,4326,802,8029,342,5357,14211,133,85,6706,11062,2704,11816,368,790,886,394,28,3007,25,526,273,10575,58,1379,3334,257,35,187,2014,1623,302,3858,83,57,3,102,874,815,2668,27838,3645,116,165,3326,41,447,164,5679,1588,2077,2104,1275,364,67,34,503,463,37,71
563,25,12,2952,342,358,684,847,1304,964,4280,2350,3800,278,11351,653,3516,375,946,1056,2545,1145,1452,1412,74,1597,1940,1053,16,5991,1269,401,6585,913,33,39,2841,9330,265,4277,762,7810,318,5260,13970,149,92,6551,10646,2857,11752,323,758,770,371,41,2841,33,526,257,10431,46,1412,3346,261,37,202,1958,1604,317,3811,78,60,4,72,878,742,2591,27772,3543,108,168,3144,50,315,139,5407,1467,2017,2092,1248,399,62,18,441,431,52,71
572,26,9,3186,317,395,685,912,1418,920,4640,2427,4020,345,11837,706,3684,353,981,1165,2695,1204,1392,1486,72,1697,1995,1072,9,6471,1409,386,7082,983,27,38,3107,10423,324,4548,881,8688,376,5341,15124,151,67,6976,11319,2954,12693,355,892,812,401,75,3219,28,581,278,11083,51,1577,3640,285,34,188,2032,1771,348,4226,78,66,2,86,852,832,2817,29943,3506,107,125,3412,46,226,201,5705,1494,1978,2065,1220,390,45,18,448,396,49,90
590,34,15,3176,339,418,722,932,1313,919,4330,2318,3818,341,11427,680,3471,366,1025,1110,2659,1173,1436,1441,76,1684,1888,1090,8,6192,1396,428,7332,987,27,42,3120,10632,275,4754,923,8578,351,5697,15396,126,88,7182,11609,3064,12955,368,911,782,405,148,3372,29,591,252,11324,39,1559,3766,319,25,192,2073,1734,311,4341,79,53,2,103,812,830,2885,30764,3274,93,102,3345,49,184,240,5857,1557,1869,1728,1228,397,49,41,426,430,51,86
629,36,16,3584,350,416,868,854,1367,966,4486,2364,3849,337,11652,652,3744,358,995,1133,2749,1172,1398,1473,92,1743,2040,1119,10,6325,1322,517,8092,1149,29,59,3264,11511,320,4911,950,9597,383,6252,16672,134,90,7750,12604,3387,13683,414,869,859,372,575,4201,38,689,341,13241,72,1758,4020,318,43,213,2164,1784,295,4573,95,64,0,78,824,846,3273,32783,3228,100,122,3540,51,166,318,6007,1607,1877,1825,1309,406,65,24,408,483,79,105
