"GR113-003","GR113-005","GR113-006","GR113-010","GR113-015","GR113-016","GR113-018","GR113-020","GR113-021","GR113-022","GR113-023","GR113-024","GR113-025","GR113-026","GR113-027","GR113-028","GR113-029","GR113-030","GR113-031","GR113-032","GR113-033","GR113-034","GR113-035","GR113-036","GR113-038","GR113-039","GR113-040","GR113-041","GR113-042","GR113-043","GR113-044","GR113-045","GR113-046","GR113-048","GR113-049","GR113-050","GR113-051","GR113-052","GR113-055","GR113-056","GR113-057","GR113-059","GR113-060","GR113-062","GR113-063","GR113-065","GR113-066","GR113-067","GR113-068","GR113-069","GR113-070","GR113-071","GR113-073","GR113-074","GR113-075","GR113-077","GR113-078","GR113-083","GR113-084","GR113-085","GR113-086","GR113-087","GR113-088","GR113-089","GR113-090","GR113-091","GR113-092","GR113-094","GR113-095","GR113-096","GR113-100","GR113-102","GR113-103","GR113-106","GR113-107","GR113-108","GR113-109","GR113-110","GR113-111","GR113-114","GR113-115","GR113-116","GR113-118","GR113-119","GR113-120","GR113-121","GR113-122","GR113-123","GR113-125","GR113-126","GR113-128","GR113-129","GR113-130","GR113-132","GR113-133","GR113-135","Other","Combine-GR113-097"
809,34,16,3087,654,573,462,759,1205,974,4401,2036,3421,318,13193,788,3645,409,772,1215,2347,1234,1360,1339,101,1695,2031,1022,2,5664,1305,399,5999,279,8,44,2165,7082,252,2956,314,9452,346,4687,15221,128,72,5218,10464,2524,10705,502,864,783,389,37,3736,49,614,277,10119,70,1426,2835,222,35,181,1532,1547,274,3749,47,41,1,96,1046,770,2774,26131,3173,83,120,2603,42,184,210,3109,1307,1741,1726,965,381,49,16,341,221,44,54
765,27,16,3133,624,549,494,747,1167,902,4279,2107,3274,314,12870,763,3407,343,773,1158,2279,1199,1321,1300,95,1599,1947,1008,8,5448,1269,398,6141,269,21,53,2243,7270,280,3001,355,9377,333,4968,15464,110,67,5253,10632,2501,10868,541,906,777,365,81,3882,51,593,336,10292,60,1458,2852,245,23,164,1585,1548,287,3698,63,45,1,95,904,765,2815,26567,3076,79,104,2495,49,153,248,3272,1412,1698,1474,946,371,40,32,319,197,49,48
832,31,14,3557,732,637,528,800,1220,944,4453,2101,3328,324,13284,822,3590,368,827,1175,2412,1272,1309,1284,94,1660,2009,1100,5,5657,1371,427,6924,326,16,55,2265,8200,286,3592,370,10709,374,5570,16644,120,83,5890,11856,2812,11542,581,900,765,398,487,4899,57,682,357,11876,64,1678,3176,289,39,171,1593,1627,306,4179,60,50,1,121,973,862,3116,28623,2822,80,107,2604,51,120,303,3406,1520,1663,1513,997,409,35,23,352,243,62,81
867,26,11,3944,799,671,626,836,1315,989,4446,2087,3354,340,13708,824,3659,344,851,1207,2369,1207,1291,1352,85,1841,2036,1154,16,5790,1371,480,7344,312,11,57,2396,8305,298,3564,426,11248,381,5892,17764,113,87,6220,12236,2731,12074,611,922,857,429,1658,6271,76,842,425,13735,77,1720,3466,294,36,221,1771,1695,304,4542,75,47,4,124,971,921,2815,30250,2572,58,105,2822,44,146,406,3637,1671,1716,1604,839,374,39,20,387,235,51,58
916,25,13,3214,690,545,491,687,1108,875,4112,1897,3003,258,11926,688,3229,310,750,1125,2156,1162,1251,1204,71,1554,1834,987,6,5365,1292,421,6443,271,7,51,1997,7315,261,3181,395,9530,338,5005,15449,95,66,5350,10765,2514,10780,538,841,772,369,811,4750,52,645,303,11747,65,1601,2873,237,38,141,1451,1513,280,4000,57,44,5,88,936,751,2532,26474,2248,54,84,2451,39,137,315,3562,1396,1592,1499,685,365,28,21,326,176,46,64
909,37,13,3451,664,610,521,803,1355,917,4593,2029,3427,302,13313,826,3595,349,821,1206,2485,1179,1327,1385,80,1730,2011,1013,8,5892,1293,456,6738,329,14,48,2208,7999,320,3392,344,10051,355,5303,16607,98,84,6063,11730,2619,11395,572,837,825,390,323,4825,49,715,353,12376,55,1731,3260,254,35,135,1569,1641,281,4228,55,41,0,90,971,816,2632,28556,2589,78,113,2684,41,186,315,3691,1423,1733,1675,849,412,48,19,370,206,61,72
815,33,16,3125,658,553,500,739,1197,927,4277,1999,3257,324,12719,766,3375,353,767,1156,2334,1102,1270,1293,103,1677,1932,1051,7,5679,1294,435,6343,299,25,63,2148,7117,271,3165,361,9400,341,4811,15696,116,73,5671,11049,2407,10773,525,773,776,377,193,4319,42,622,302,11607,67,1563,3179,274,22,153,1587,1552,273,3835,48,52,3,101,1039,805,2549,26833,2720,75,125,2463,29,254,226,3313,1403,1874,1732,886,391,52,27,353,222,55,67
846,30,10,3105,655,548,484,778,1253,939,4302,2067,3417,318,13018,812,3532,332,786,1193,2413,1178,1373,1319,91,1707,1954,1064,6,5645,1315,428,6272,288,14,40,2168,7266,271,3208,379,9421,315,4923,15419,123,75,5804,10872,2496,10963,519,762,795,390,82,4017,42,607,274,11358,61,1559,3101,247,34,172,1527,1529,296,3910,53,45,2,90,1096,775,2584,26565,3038,92,159,2621,35,394,143,3463,1415,1784,1805,972,426,50,25,396,200,47,70
770,31,13,2947,670,517,522,777,1214,912,4277,2030,3303,310,12739,735,3305,365,811,1135,2337,1096,1243,1295,96,1695,1857,1015,8,5548,1243,400,5802,299,9,50,1989,6755,246,2993,320,8582,323,4729,14331,117,75,5337,10091,2363,9973,481,728,720,341,34,3624,46,532,282,10347,63,1405,2782,228,29,165,1574,1447,269,3579,47,45,4,91,1024,789,2518,24755,3084,98,175,2660,32,531,161,3310,1395,1848,1704,971,405,54,29,357,228,44,52
806,32,9,3112,701,532,494,803,1291,919,4271,2096,3489,314,13156,764,3398,364,785,1173,2297,1194,1366,1322,86,1685,1909,1002,7,5568,1319,439,5983,326,11,29,1917,6990,251,3004,343,8784,297,4849,14489,107,70,5393,10404,2438,10449,474,788,771,357,16,3519,39,535,233,10354,66,1467,2690,225,31,161,1550,1549,282,3622,68,48,4,102,1081,733,2449,25874,3227,95,181,2586,30,582,121,3472,1449,1843,1691,945,437,47,22,386,222,44,68
