"","method","rmsse"
"Cluster-trend1","Cluster-trend1",59.62
"Cluster","Cluster",59.63
"Cluster-trend2","Cluster-trend2",59.65
"Cluster-season","Cluster-season",59.65
"Two-level","Two-level",59.71
"Base","Base",77.64
